id	rank	name	authorship
51344520	Regnum	Plantae	Haeckel
51344519	Division	Charophyta	Sachs
51344521	Classis	Equisetopsida	C.Agardh
51304336	Subclassis	Cycadidae	Pax
51304335	Ordo	Cycadales	Pers. ex Bercht. & J.Presl
2913626	Familia	Cycadaceae	Pers.
2887109	Genus	Cycas	L.
2887837	Species	Cycas angulata	R.Br.
2893424	Species	Cycas arenicola	K.D.Hill
2915194	Species	Cycas armstrongii	Miq.
2902935	Species	Cycas arnhemica	K.D.Hill
2909332	Species	Cycas badensis	K.D.Hill
2921095	Species	Cycas basaltica	C.A.Gardner
2886895	Species	Cycas brunnea	K.D.Hill
2908796	Species	Cycas cairnsiana	F.Muell.
2913329	Species	Cycas calcicola	Maconochie
2919167	Species	Cycas canalis	K.D.Hill
2893335	Species	Cycas candida	K.D.Hill
2911636	Species	Cycas conferta	Chirgwin
2904810	Species	Cycas couttsiana	K.D.Hill
2892784	Species	Cycas cupida	P.I.Forst.
2904097	Species	Cycas desolata	P.I.Forst.
2908733	Species	Cycas furfuracea	W.Fitzg.
2904128	Species	Cycas lane-poolei	C.A.Gardner
2892582	Species	Cycas maconochiei	Chirgwin & K.D.Hill
2897060	Subspecies	Cycas maconochiei subsp. maconochiei	
2920051	Subspecies	Cycas maconochiei subsp. viridis	K.D.Hill
2889358	Species	Cycas media	R.Br.
2898155	Subspecies	Cycas media subsp. banksii	K.D.Hill
2904417	Subspecies	Cycas media subsp. ensata	K.D.Hill
2900669	Subspecies	Cycas media subsp. media	
2913264	Species	Cycas megacarpa	K.D.Hill
2914888	Species	Cycas ophiolitica	K.D.Hill
2914030	Species	Cycas orientis	K.D.Hill
2889516	Species	Cycas platyphylla	K.D.Hill
2895450	Species	Cycas pruinosa	Maconochie
2910847	Species	Cycas rumphii	Miq.
2909346	Species	Cycas scratchleyana	F.Muell.
2921188	Species	Cycas semota	K.D.Hill
2896080	Species	Cycas silvestris	K.D.Hill
2909218	Species	Cycas terryana	P.I.Forst.
2919760	Species	Cycas tuckeri	K.D.Hill
2911543	Species	Cycas xipholepis	K.D.Hill
2896971	Species	Cycas yorkiana	K.D.Hill
51304334	Familia	Zamiaceae	Horan.
2908062	Genus	Bowenia	Hook.f.
2898331	Species	Bowenia serrulata	(W.Bull) Chamb.
2912787	Species	Bowenia spectabilis	Hook. ex Hook.f.
2886286	Genus	Lepidozamia	Regel
2918315	Species	Lepidozamia hopei	(W.Hill) Regel
2897542	Species	Lepidozamia peroffskyana	Regel
51294694	Genus	Macrozamia	Miq.
2906288	Species	Macrozamia cardiacensis	P.I.Forst. & D.L.Jones
2887061	Species	Macrozamia communis	L.A.S.Johnson
2906862	Species	Macrozamia concinna	D.L.Jones
2891883	Species	Macrozamia conferta	D.L.Jones & P.I.Forst.
2892095	Species	Macrozamia cranei	D.L.Jones & P.I.Forst.
2886099	Species	Macrozamia crassifolia	P.I.Forst. & D.L.Jones
2897257	Species	Macrozamia diplomera	(F.Muell.) L.A.S.Johnson
2912247	Species	Macrozamia douglasii	W.Hill ex F.M.Bailey
2910572	Species	Macrozamia dyeri	(F.Muell.) C.A.Gardner
2909225	Species	Macrozamia elegans	K.D.Hill & D.L.Jones
2894533	Species	Macrozamia fawcettii	C.Moore
2886756	Species	Macrozamia fearnsidei	D.L.Jones
2897645	Species	Macrozamia flexuosa	C.Moore
2919475	Species	Macrozamia fraseri	Miq.
2906995	Species	Macrozamia glaucophylla	D.L.Jones
2887600	Species	Macrozamia heteromera	C.Moore
2886421	Species	Macrozamia humilis	D.L.Jones
2897563	Species	Macrozamia johnsonii	D.L.Jones & K.D.Hill
2889844	Species	Macrozamia lomandroides	D.L.Jones
2891775	Species	Macrozamia longispina	P.I.Forst. & D.L.Jones
2899258	Species	Macrozamia lucida	L.A.S.Johnson
2917134	Species	Macrozamia macdonnellii	(F.Muell. ex Miq.) F.Muell. ex A.DC.
2914591	Species	Macrozamia machinii	P.I.Forst. & D.L.Jones
2917359	Species	Macrozamia macleayi	Miq.
51294692	Species	Macrozamia miquelii	(F.Muell.) A.DC.
2915111	Species	Macrozamia montana	K.D.Hill
2907789	Species	Macrozamia moorei	F.Muell.
2920366	Species	Macrozamia mountperriensis	F.M.Bailey
2901278	Species	Macrozamia occidua	D.L.Jones & P.I.Forst.
